comparison,metric,k_true,n_pairs,n_win,n_loss,n_tie,win_rate,median_diff,p_value
nuts_vs_bayesm,Hellinger,1,400,238,162,0,0.595,-0.00237,0.00016968486189830647
nuts_vs_bayesm,Hellinger,2,400,143,257,0,0.3575,0.00529,1.2891867313661445e-08
nuts_vs_bayesm,Hellinger,3,400,78,322,0,0.195,0.015315,2.6356416637873812e-36
nuts_vs_bayesm,Hellinger,5,400,47,352,1,0.1178,0.025495,7.239918291083891e-59
nuts_vs_bayesm,Hellinger,all,1600,506,1093,1,0.3164,0.01,9.904919705504294e-50
hmc_vs_bayesm,Hellinger,1,400,258,140,2,0.6482,-0.003935,3.483401062425216e-09
hmc_vs_bayesm,Hellinger,2,400,141,259,0,0.3525,0.0059,3.820162155587691e-09
hmc_vs_bayesm,Hellinger,3,400,94,306,0,0.235,0.015045,2.741372041857762e-27
hmc_vs_bayesm,Hellinger,5,400,60,340,0,0.15,0.02589,1.416748848954643e-48
hmc_vs_bayesm,Hellinger,all,1600,553,1045,2,0.3461,0.00853,3.267105065657214e-35
nuts_vs_hmc,Hellinger,1,400,178,222,0,0.445,0.000805,0.03142663551443067
nuts_vs_hmc,Hellinger,2,400,202,197,1,0.5063,-9.5e-05,0.8413162110893821
nuts_vs_hmc,Hellinger,3,400,215,185,0,0.5375,-0.000745,0.14696573838544685
nuts_vs_hmc,Hellinger,5,400,204,196,0,0.51,-0.00076,0.7263869151831215
nuts_vs_hmc,Hellinger,all,1600,799,800,1,0.4997,5e-06,1.0
nuts_vs_bayesm,KL,1,400,281,119,0,0.7025,-0.00289,3.245930193497797e-16
nuts_vs_bayesm,KL,2,370,180,190,0,0.4865,0.00023,0.6399240484417608
nuts_vs_bayesm,KL,3,283,71,211,1,0.2518,0.01363,2.6959688636191218e-17
nuts_vs_bayesm,KL,5,92,3,89,0,0.0326,0.08909,5.244963240504083e-23
nuts_vs_bayesm,KL,all,1145,535,609,1,0.4677,0.00111,0.03086055593582821
hmc_vs_bayesm,KL,1,400,294,106,0,0.735,-0.003955,1.5236734486410213e-21
hmc_vs_bayesm,KL,2,352,166,186,0,0.4716,0.001205,0.3111993430021292
hmc_vs_bayesm,KL,3,236,84,152,0,0.3559,0.00669,1.1339023726368824e-05
hmc_vs_bayesm,KL,5,71,9,62,0,0.1268,0.09222,7.335319390745429e-11
hmc_vs_bayesm,KL,all,1059,553,506,0,0.5222,-0.00055,0.15746273431577174
nuts_vs_hmc,KL,1,400,165,233,2,0.4146,0.000345,0.0007634722806975947
nuts_vs_hmc,KL,2,343,173,170,0,0.5044,-0.0002,0.91402440000161
nuts_vs_hmc,KL,3,192,93,99,0,0.4844,0.00025,0.7183188542176947
nuts_vs_hmc,KL,5,32,17,15,0,0.5312,-0.004325,0.860050065908581
nuts_vs_hmc,KL,all,967,448,517,2,0.4642,0.00027,0.028544888997471464
nuts_vs_bayesm,JSD,1,400,226,171,3,0.5693,-0.00014,0.006651322584403895
nuts_vs_bayesm,JSD,2,400,133,266,1,0.3333,0.00098,2.5646652903842277e-11
nuts_vs_bayesm,JSD,3,400,77,322,1,0.193,0.002695,1.023759217755412e-36
nuts_vs_bayesm,JSD,5,400,49,350,1,0.1228,0.00508,3.831549590353133e-57
nuts_vs_bayesm,JSD,all,1600,485,1109,6,0.3043,0.0016,2.495607019083967e-56
hmc_vs_bayesm,JSD,1,400,244,155,1,0.6115,-0.000235,9.745093211635344e-06
hmc_vs_bayesm,JSD,2,400,139,261,0,0.3475,0.00104,1.0846402527089687e-09
hmc_vs_bayesm,JSD,3,400,90,310,0,0.225,0.002635,2.163447847647595e-29
hmc_vs_bayesm,JSD,5,400,66,334,0,0.165,0.005385,3.283696705258029e-44
hmc_vs_bayesm,JSD,all,1600,539,1060,1,0.3371,0.001405,2.4449887779105863e-39
nuts_vs_hmc,JSD,1,400,179,218,3,0.4509,5e-05,0.05636232235611185
nuts_vs_hmc,JSD,2,400,204,192,4,0.5152,-3.5e-05,0.5804759839450514
nuts_vs_hmc,JSD,3,400,211,188,1,0.5288,-0.000165,0.2707113361487047
nuts_vs_hmc,JSD,5,400,206,191,3,0.5189,-0.00017,0.48232710193844475
nuts_vs_hmc,JSD,all,1600,800,789,11,0.5035,-5e-06,0.8019289295872735
nuts_vs_bayesm,TVD,1,400,173,227,0,0.4325,0.002685,0.007969830575801142
nuts_vs_bayesm,TVD,2,400,126,274,0,0.315,0.006805,1.0422074451792602e-13
nuts_vs_bayesm,TVD,3,400,86,314,0,0.215,0.012415,1.3602537812571526e-31
nuts_vs_bayesm,TVD,5,400,67,332,1,0.1679,0.017275,2.739678752411166e-43
nuts_vs_bayesm,TVD,all,1600,452,1147,1,0.2827,0.00967,1.0668785584744494e-69
hmc_vs_bayesm,TVD,1,400,183,217,0,0.4575,0.001735,0.09882178691656453
hmc_vs_bayesm,TVD,2,400,125,275,0,0.3125,0.00703,4.7304526622393404e-14
hmc_vs_bayesm,TVD,3,400,88,312,0,0.22,0.013665,1.7657133507734463e-30
hmc_vs_bayesm,TVD,5,400,78,322,0,0.195,0.018415,2.6356416637873812e-36
hmc_vs_bayesm,TVD,all,1600,474,1126,0,0.2963,0.008735,2.9471708078598592e-61
nuts_vs_hmc,TVD,1,400,187,212,1,0.4687,0.00034,0.22951330960394836
nuts_vs_hmc,TVD,2,400,213,187,0,0.5325,-0.00059,0.2112462600982553
nuts_vs_hmc,TVD,3,400,217,183,0,0.5425,-0.00112,0.09882178691656453
nuts_vs_hmc,TVD,5,400,204,196,0,0.51,-0.000815,0.7263869151831215
nuts_vs_hmc,TVD,all,1600,821,778,1,0.5134,-0.00033,0.2935646314132332
nuts_vs_bayesm,Wasserstein1,1,400,179,221,0,0.4475,0.00219,0.040230739680637985
nuts_vs_bayesm,Wasserstein1,2,400,128,272,0,0.32,0.018565,4.889163968957266e-13
nuts_vs_bayesm,Wasserstein1,3,400,74,326,0,0.185,0.060725,7.979423658739216e-39
nuts_vs_bayesm,Wasserstein1,5,400,48,352,0,0.12,0.094945,3.026471453666863e-58
nuts_vs_bayesm,Wasserstein1,all,1600,429,1171,0,0.2681,0.033625,1.550809687601357e-79
hmc_vs_bayesm,Wasserstein1,1,400,200,200,0,0.5,-1.5e-05,1.0
hmc_vs_bayesm,Wasserstein1,2,400,112,288,0,0.28,0.02842,5.671435779874289e-19
hmc_vs_bayesm,Wasserstein1,3,400,75,325,0,0.1875,0.0616,3.485176528056456e-38
hmc_vs_bayesm,Wasserstein1,5,400,58,342,0,0.145,0.093375,4.265224148715052e-50
hmc_vs_bayesm,Wasserstein1,all,1600,445,1155,0,0.2781,0.03479,1.0013477657309011e-72
nuts_vs_hmc,Wasserstein1,1,400,181,218,1,0.4536,0.00109,0.07137220456586194
nuts_vs_hmc,Wasserstein1,2,400,215,184,1,0.5388,-0.00704,0.13302680380804788
nuts_vs_hmc,Wasserstein1,3,400,203,197,0,0.5075,-0.001215,0.8026252540927463
nuts_vs_hmc,Wasserstein1,5,400,190,210,0,0.475,0.005095,0.34212239608405065
nuts_vs_hmc,Wasserstein1,all,1600,789,809,2,0.4937,0.000475,0.6345888774727314
